Buy/Sell,Symbol,CUSIP,Type,Description,"Trade Date","Unit Price",Quantity,"Total Cost","Short Term Gain/Loss","Long Term Gain/Loss","Disallowed Loss",LRM,"Long/Short Position","1256 Contract","Market Discount","Wash Sale"
BUY,AAPL,037833100,Stock,"APPLE INC  ",12/04/2019,65.3835,0.85572,55.95,0,55.1823564,0,,LONG,No,0,
BUY,AAPL,037833100,Stock,"APPLE INC  ",12/12/2019,68.4211,0.0076,0.52,0,0.467012,0,,LONG,No,0,
BUY,AAPL,037833100,Stock,"APPLE INC  ",12/16/2019,69.9850,0.02672,1.87,0,1.6001264,0,,LONG,No,0,
BUY,AAPL,037833100,Stock,"APPLE INC  ",04/17/2020,70.6175,0.70804,50,41.9531548,0,0,,LONG,No,0,
BUY,ABBV,00287Y109,Stock,"ABBVIE INC  ",12/04/2019,86.2704,0.95247,82.17,0,17.8488747,0,,LONG,No,0,
BUY,ABBV,00287Y109,Stock,"ABBVIE INC  ",12/17/2019,89.5855,0.16141,14.46,0,2.4896641,0,,LONG,No,0,
BUY,ABBV,00287Y109,Stock,"ABBVIE INC  ",04/29/2020,82.7059,0.085,7.03,1.89585,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",04/20/2020,36.2707,0.55141,20,6.5117928,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",04/22/2020,35.2203,0.3586,12.63,4.611488,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",04/29/2020,38.5414,0.17332,6.68,1.6532256,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",05/04/2020,35.7207,0.27995,10,3.459996,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",07/02/2020,36.3902,0.33553,12.21,3.9222824,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",07/15/2020,36.2627,0.12244,4.44,1.4469152,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",08/06/2020,35.2308,0.39596,13.95,5.0877568,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",08/12/2020,38.4797,0.10577,4.07,1.0154216,0,0,,LONG,No,0,
BUY,AFL,001055102,Stock,"AFLAC INC  ",12/24/2020,43.5902,0.37692,16.43,1.6923136,0,0,,LONG,No,0,
BUY,ALK,011659109,Stock,"ALASKA AIR GROUP INC  ",03/06/2020,46.9008,0.53304,25,8.1977312,0,0,,LONG,No,0,
BUY,ALK,011659109,Stock,"ALASKA AIR GROUP INC  ",03/11/2020,45.2706,0.26441,11.97,4.4974548,0,0,,LONG,No,0,
BUY,ALK,011659109,Stock,"ALASKA AIR GROUP INC  ",03/27/2020,31.5318,0.16523,5.21,5.0805244,0,0,,LONG,No,0,
BUY,ALK,011659109,Stock,"ALASKA AIR GROUP INC  ",04/13/2020,30.0643,0.49893,15,16.0733604,0,0,,LONG,No,0,
BUY,ALK,011659109,Stock,"ALASKA AIR GROUP INC  ",04/14/2020,31.7919,0.05882,1.87,1.7933096,0,0,,LONG,No,0,
BUY,ALK,011659109,Stock,"ALASKA AIR GROUP INC  ",04/16/2020,27.6829,0.08489,2.35,2.9369492,0,0,,LONG,No,0,
BUY,ALK,011659109,Stock,"ALASKA AIR GROUP INC  ",05/04/2020,28.5984,0.34967,10,11.7774476,0,0,,LONG,No,0,
BUY,AMD,007903107,Stock,"ADVANCED MICRO DEVICES INC COM ",11/19/2020,82.2699,0.27191,22.37,1.9876978,0,0,,LONG,No,0,
BUY,AMD,007903107,Stock,"ADVANCED MICRO DEVICES INC COM ",12/24/2020,91.7346,0.19491,17.88,-0.4199622,0,0,,LONG,No,0,
BUY,AMZN,023135106,Stock,"AMAZON.COM INC  ",12/04/2019,1784.0324,0.05436,96.98,0,79.684564,0,,LONG,No,0,
BUY,AMZN,023135106,Stock,"AMAZON.COM INC  ",12/17/2019,1785.0467,0.00107,1.91,0,1.567393,0,,LONG,No,0,
BUY,BABA,01609W102,Stock,"***ALIBABA GROUP HOLDING LTD SPONSORED ADR ",01/13/2021,227.9289,0.32905,75,11.7342895,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",12/04/2019,33.1401,1.30929,43.39,0,1.8328766,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",03/27/2020,21.7014,0.10368,2.25,1.3311072,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",04/01/2020,20.2901,0.10547,2.14,1.5029338,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",04/06/2020,21.3313,0.09329,1.99,1.2322366,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",04/16/2020,21.3502,0.34379,7.34,4.5345066,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",04/29/2020,24.6412,0.15259,3.76,1.5104586,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",07/02/2020,23.9002,0.87405,20.89,9.299687,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",07/15/2020,24.6525,0.09208,2.27,0.9104432,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",08/06/2020,25.3102,0.4836,12.24,4.463544,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",08/12/2020,27.4980,0.46367,12.75,3.2651618,0,0,,LONG,No,0,
BUY,BAC,060505104,Stock,"BANK OF AMERICA CORP  ",12/24/2020,29.8396,0.79324,23.67,3.7285096,0,0,,LONG,No,0,
BUY,BIV,921937819,Stock,"VANGUARD INTERMEDIATE TERM BOND ETF ",08/27/2020,93.5708,0.82825,77.5,-2.1375325,0,0,,LONG,No,0,
BUY,BIV,921937819,Stock,"VANGUARD INTERMEDIATE TERM BOND ETF ",11/05/2020,93.4320,0.01081,1.01,-0.0263981,0,0,,LONG,No,0,
BUY,BIV,921937819,Stock,"VANGUARD INTERMEDIATE TERM BOND ETF ",11/09/2020,92.9195,0.04929,4.58,-0.0951029,0,0,,LONG,No,0,
BUY,BIV,921937819,Stock,"VANGUARD INTERMEDIATE TERM BOND ETF ",01/07/2021,92.1605,0.05957,5.49,-0.0697257,0,0,,LONG,No,0,
BUY,BIV,921937819,Stock,"VANGUARD INTERMEDIATE TERM BOND ETF ",01/19/2021,92.0442,0.06247,5.75,-0.0658547,0,0,,LONG,No,0,
BUY,BIV,921937819,Stock,"VANGUARD INTERMEDIATE TERM BOND ETF ",01/21/2021,92.0780,0.02411,2.22,-0.0262311,0,0,,LONG,No,0,
BUY,BLV,921937793,Stock,"VANGUARD LONG TERM BOND ETF  ",08/27/2020,112.7002,1.37533,155,-14.6750801,0,0,,LONG,No,0,
BUY,BLV,921937793,Stock,"VANGUARD LONG TERM BOND ETF  ",11/05/2020,112.6690,0.01997,2.25,-0.2124609,0,0,,LONG,No,0,
BUY,BLV,921937793,Stock,"VANGUARD LONG TERM BOND ETF  ",11/09/2020,110.7352,0.09753,10.8,-0.8490141,0,0,,LONG,No,0,
BUY,BLV,921937793,Stock,"VANGUARD LONG TERM BOND ETF  ",01/07/2021,106.3634,0.15212,16.18,-0.6591964,0,0,,LONG,No,0,
BUY,BLV,921937793,Stock,"VANGUARD LONG TERM BOND ETF  ",01/19/2021,106.6838,0.10114,10.79,-0.4706858,0,0,,LONG,No,0,
BUY,BLV,921937793,Stock,"VANGUARD LONG TERM BOND ETF  ",01/21/2021,106.4509,0.04387,4.67,-0.1939439,0,0,,LONG,No,0,
BUY,BNDW,92206C565,Stock,"VANGUARD SCOTTSDALE FDS VANGUARD TOTAL WORLD BOND ETF ",01/19/2021,81.6384,0.28467,23.24,-0.3468386,0,0,,LONG,No,0,
BUY,BNDW,92206C565,Stock,"VANGUARD SCOTTSDALE FDS VANGUARD TOTAL WORLD BOND ETF ",01/25/2021,81.6956,0.02595,2.12,-0.033101,0,0,,LONG,No,0,
BUY,BNDW,92206C565,Stock,"VANGUARD SCOTTSDALE FDS VANGUARD TOTAL WORLD BOND ETF ",02/04/2021,81.2918,0.16164,13.14,-0.1409112,0,0,,LONG,No,0,
BUY,BNDX,92203J407,Stock,"VANGUARD TOTAL INTERNATIONAL BOND ETF ",01/19/2021,58.2851,0.55829,32.54,-0.5053198,0,0,,LONG,No,0,
BUY,BNDX,92203J407,Stock,"VANGUARD TOTAL INTERNATIONAL BOND ETF ",02/04/2021,58.0297,0.10374,6.02,-0.0673988,0,0,,LONG,No,0,
BUY,BRKB,084670702,Stock,"BERKSHIRE HATHAWAY INC DEL CL B ",12/04/2019,218.4795,0.20217,44.17,0,4.7248145,0,,LONG,No,0,
BUY,BRKB,084670702,Stock,"BERKSHIRE HATHAWAY INC DEL CL B ",04/13/2020,188.5014,0.05305,10,2.8301425,0,0,,LONG,No,0,
BUY,BRKB,084670702,Stock,"BERKSHIRE HATHAWAY INC DEL CL B ",07/14/2020,185.6722,0.30193,56.06,16.9617705,0,0,,LONG,No,0,
BUY,BRX,11120U105,Stock,"BRIXMOR PROPERTY GROUP INC  ",04/13/2020,10.6900,1.8709,20,16.576095,0,0,,LONG,No,0,
BUY,BRX,11120U105,Stock,"BRIXMOR PROPERTY GROUP INC  ",04/16/2020,9.3201,1.30364,12.15,13.336162,0,0,,LONG,No,0,
BUY,BRX,11120U105,Stock,"BRIXMOR PROPERTY GROUP INC  ",04/17/2020,9.5000,1.05263,10,10.5789165,0,0,,LONG,No,0,
BUY,BRX,11120U105,Stock,"BRIXMOR PROPERTY GROUP INC  ",04/20/2020,8.7600,2.2831,20,24.634605,0,0,,LONG,No,0,
BUY,BRX,11120U105,Stock,"BRIXMOR PROPERTY GROUP INC  ",04/21/2020,8.8201,1.13378,10,12.165399,0,0,,LONG,No,0,
